circuito,escuela,mesa,nombre,votos,perc,percAbs
00668,ESCUELA EP N°9/ ES N°17,0213400001X,CELESTE Y BLANCA - 1,50.0,51.02,22.12
00668,ESCUELA EP N°9/ ES N°17,0213400001X,CELESTE Y BLANCA - 2,48.0,48.97,21.23
00668,ESCUELA EP N°9/ ES N°17,0213400002X,CELESTE Y BLANCA - 1,59.0,53.63,26.94
00668,ESCUELA EP N°9/ ES N°17,0213400002X,CELESTE Y BLANCA - 2,51.0,46.36,23.28
00668,ESCUELA EP N°9/ ES N°17,0213400003X,CELESTE Y BLANCA - 2,58.0,53.21,25.0
00668,ESCUELA EP N°9/ ES N°17,0213400003X,CELESTE Y BLANCA - 1,51.0,46.78,21.98
00668,ESCUELA EP N°9/ ES N°17,0213400004X,CELESTE Y BLANCA - 1,61.0,51.69,26.29
00668,ESCUELA EP N°9/ ES N°17,0213400004X,CELESTE Y BLANCA - 2,57.0,48.3,24.56
00668,ESCUELA EP N°9/ ES N°17,0213400005X,CELESTE Y BLANCA - 1,60.0,56.07,25.0
00668,ESCUELA EP N°9/ ES N°17,0213400005X,CELESTE Y BLANCA - 2,47.0,43.92,19.58
00668,ESCUELA EP N°9/ ES N°17,0213400006X,CELESTE Y BLANCA - 1,41.0,50.0,17.98
00668,ESCUELA EP N°9/ ES N°17,0213400006X,CELESTE Y BLANCA - 2,41.0,50.0,17.98
00668,ESCUELA EP N°9/ ES N°17,0213400007X,CELESTE Y BLANCA - 1,68.0,59.13,28.09
00668,ESCUELA EP N°9/ ES N°17,0213400007X,CELESTE Y BLANCA - 2,47.0,40.86,19.42
00668,ESCUELA EP N°2,0213400008X,CELESTE Y BLANCA - 1,56.0,57.14,23.23
00668,ESCUELA EP N°2,0213400008X,CELESTE Y BLANCA - 2,42.0,42.85,17.42
00668,ESCUELA EP N°2,0213400009X,CELESTE Y BLANCA - 1,65.0,58.55,28.63
00668,ESCUELA EP N°2,0213400009X,CELESTE Y BLANCA - 2,46.0,41.44,20.26
00668,ESCUELA EP N°2,0213400010X,CELESTE Y BLANCA - 2,61.0,52.58,25.41
00668,ESCUELA EP N°2,0213400010X,CELESTE Y BLANCA - 1,55.0,47.41,22.91
00668,ESCUELA EP N°2,0213400011X,CELESTE Y BLANCA - 2,74.0,59.19,32.31
00668,ESCUELA EP N°2,0213400011X,CELESTE Y BLANCA - 1,51.0,40.79,22.27
00668,ESCUELA EP N°2,0213400012X,CELESTE Y BLANCA - 2,58.0,51.78,23.48
00668,ESCUELA EP N°2,0213400012X,CELESTE Y BLANCA - 1,54.0,48.21,21.86
00668,ESCUELA EP N°2,0213400013X,CELESTE Y BLANCA - 1,63.0,64.28,30.28
00668,ESCUELA EP N°2,0213400013X,CELESTE Y BLANCA - 2,35.0,35.71,16.82
00668,ESCUELA EP N°2,0213400014X,CELESTE Y BLANCA - 2,66.0,54.54,27.84
